Sample Year,Field number/letter,Plot number,Depth,NTrt,NAdd,NitrAdd,NAtm+NAdd,Fenced,Orignal Fence Trt,Burned,Original Burn Trt,Original Trt,Root biomass (g/m2)
year,field,plot,depth,ntrt,nadd,fertadd,natm.nadd,fence,fence.origin,burn,burn.origin,trt.origin,mass.root
1993,A,23,0-30,4,3.4,10,4.4,1,1,0,1,1,635.6
1993,A,24,0-30,4,3.4,10,4.4,1,1,0,1,1,680.6
1993,A,25,0-30,7,17,50,18,1,1,0,1,1,725.4
1993,A,26,0-30,2,1.02,3,2.02,1,1,0,1,1,639.2
1993,A,27,0-30,3,2.04,6,3.04,1,1,0,1,1,730.8
1993,A,28,0-30,5,5.44,16,6.44,1,1,0,1,1,833.2
1993,A,29,0-30,3,2.04,6,3.04,1,1,0,1,1,576.4
1993,A,30,0-30,3,2.04,6,3.04,1,1,0,1,1,657.2
1993,A,31,0-30,5,5.44,16,6.44,1,1,0,1,1,1256.9
1993,A,32,0-30,5,5.44,16,6.44,1,1,0,1,1,1222.8
1993,A,33,0-30,9,0,0,1,1,1,0,1,1,587.2
1993,A,34,0-30,7,17,50,18,1,1,0,1,1,861.9
1993,A,35,0-30,2,1.02,3,2.02,1,1,0,1,1,535.1
1993,A,36,0-30,7,17,50,18,1,1,0,1,1,605.1
1993,A,37,0-30,3,2.04,6,3.04,1,1,0,1,1,650
1993,A,38,0-30,4,3.4,10,4.4,1,1,0,1,1,624.9
1993,A,39,0-30,6,9.52,28,10.52,1,1,0,1,1,948.1
1993,A,40,0-30,8,27.2,80,28.2,1,1,0,1,1,773.9
1993,A,41,0-30,4,3.4,10,4.4,1,1,0,1,1,831.4
1993,A,42,0-30,6,9.52,28,10.52,1,1,0,1,1,885.2
1993,A,43,0-30,2,1.02,3,2.02,1,1,0,1,1,447.1
1993,A,44,0-30,7,17,50,18,1,1,0,1,1,773.9
